Peptide,Strength
Adamax,5mg
AHK-Cu,100mg
BPC-157 + TB-500,20mg
Cerebrolysin,60mg
CJC-1295 (no DAC),5mg
Dermorphin,5mg
DSIP,5mg
Epithalon,10mg
GHK-Cu,50mg
GLOW,70mg
Glutathione,1500mg
Ipamorelin,10mg
KLOW,80mg
KPV,10mg
LL-37,5mg
Melatonin,10mg
MOTS-c,40mg
MT-2,10mg
NAD+,500mg
NAD+,1000mg
Pinealon,10mg
Pinealon,20mg
PT-141,10mg
Retatrutide,5mg
Retatrutide,10mg
Retatrutide,20mg
Selank,11mg
Semax,5mg
SLU-PP-322,5mg
Somatropin (HGH),15IU
Somatropin (HGH),24IU
Somatropin (HGH),36IU
SS-31,50mg
TB-500,5mg
Tesamorelin,10mg
Tesamorelin,20mg
Thymosin Alpha-1,10mg
Vitamin B12,10mg/mL
,
BAC Water,10mL
